detector,n,auc,auc_ci_low,auc_ci_high,tpr_at_fpr_0.001,tpr_at_fpr_0.001_ci_low,tpr_at_fpr_0.001_ci_high,tau_0.001,tpr_ext_tau_0.001,fpr_ext_tau_0.001,tpr_at_fpr_0.01,tpr_at_fpr_0.01_ci_low,tpr_at_fpr_0.01_ci_high,tau_0.01,tpr_ext_tau_0.01,fpr_ext_tau_0.01,f1_at_0.5,query_context
rules_s1,5932,0.531861364265215,0.5253621594372494,0.5382502130733654,0.0,0.0,0.0,0.95,0.0,0.0,0.07039597737272156,0.057571514753153676,0.0829116273969169,0.95,0.0,0.0,0.12933025404157045,true
shield_s2,5932,0.698976736656941,0.6820335159785464,0.7159827593574997,0.03834066624764299,0.02946478252351097,0.052068579824877045,0.9999889135360718,0.0006285355122564425,0.0,0.07039597737272156,0.056036773672201286,0.08292761707176176,0.9999865293502808,0.01005656819610308,0.0,0.5311176278918214,true
tfidf_lr,5932,0.5476274558095808,0.5308951097227791,0.5643850509462734,0.008799497171590195,0.0018796992481203006,0.01380658544605885,0.9497637673963022,0.0,0.0,0.021370207416719043,0.014508992713210819,0.030174276287782034,0.877843478066527,0.0006285355122564425,0.0,0.06399069226294357,true
external_hf,5932,0.646835002984856,0.6324710366474698,0.6608337899651444,0.00251414204902577,0.0,0.005092378986973285,0.9999988079071045,0.0,0.0,0.013827781269641735,0.00566376158528602,0.02298208105435555,0.9959426522254944,0.013827781269641735,0.008984105044920525,0.05837711617046117,true
rules_s1,5932,0.531861364265215,0.5253621594372494,0.5382502130733654,0.0,0.0,0.0,0.95,0.0,0.0,0.07039597737272156,0.057571514753153676,0.0829116273969169,0.95,0.0,0.0,0.12933025404157045,false
shield_s2,5932,0.6969617598183516,0.6808191793409751,0.7150504136193124,0.030798240100565682,0.0236592859631703,0.056850197648749934,0.9999889135360718,0.0,0.0,0.07039597737272156,0.05666122385915411,0.086171509554833,0.9999865293502808,0.0069138906348208675,0.0,0.5365853658536586,false
tfidf_lr,5932,0.5613242016867802,0.5445358747980232,0.5781746048248172,0.006285355122564425,0.0025045008704679575,0.0108840062944581,0.9497637673963022,0.0,0.0,0.02451288497800126,0.01785657415832575,0.03452638182873608,0.877843478066527,0.0,0.0,0.041212121212121214,false
external_hf,5932,0.5932622325158607,0.5781073040778428,0.6085330518388502,0.0018856065367693275,0.0,0.0038723610876541113,0.9999988079071045,0.0,0.0,0.008170961659333752,0.003157818482831904,0.020240480320368796,0.9959426522254944,0.04022627278441232,0.025109421792213777,0.11351351351351352,false
